English Name,Latitude,Longitude,Hebrew Name,English Name,Alt English Names,UID,,,,,
MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter,StringFilter,StringFilter,StringFilter,CSVFilter,CategoryFilter,CategoryFilter,CategoryFilter,CategoryFilter,CategoryFilter
Frauenkirchen,47.8357583,16.9261022,פרויקירכען,Frauenkirchen,"Frauenkirchen , Boldogasszony , Fertőboldogasszony",AT-00014,,,,,
Frauenkirchen,47.8357583,16.9261022,פרונקירכן,Frauenkirchen,"Frauenkirchen , Boldogasszony , Fertőboldogasszony",AT-00014,,,,,
"Güssing, Austria",47.05932,16.32449,גיסונג,"Güssing, Austria","Güssing , Németújvár , Gising , Guessing",AT-00015,,,,,
"Güssing, Austria",47.06666667,16.33333333,גיסינג,"Güssing, Austria","Güssing , Németújvár , Gising , Guessing",AT-00015,,,,,
"Kittsee, Austria",48.0927458,17.0587371,קוצע,"Kittsee, Austria","Kittsee , Köpcsény , Kopčany , Gijeca , Gieca",AT-00016,,,,,
"Kittsee, Austria",48.0927458,17.0587371,קיטטזעע,"Kittsee, Austria","Kittsee , Köpcsény , Kopčany , Gijeca , Gieca",AT-00016,,,,,
"Kittsee, Austria",48.0927458,17.0587371,קיטצע,"Kittsee, Austria","Kittsee , Köpcsény , Kopčany , Gijeca , Gieca",AT-00016,,,,,
"Kittsee, Austria",48.0927458,17.0587371,קיצע,"Kittsee, Austria","Kittsee , Köpcsény , Kopčany , Gijeca , Gieca",AT-00016,,,,,
Kobersdorf,47.5960798,16.3909779,"ק""ד",Kobersdorf,"Kobersdorf , Kabold ",AT-00017,,,,,
Kobersdorf,47.5960798,16.3909779,קאבירשדורף,Kobersdorf,"Kobersdorf , Kabold ",AT-00017,,,,,
Kobersdorf,47.5960798,16.3909779,קאבעלסדארף,Kobersdorf,"Kobersdorf , Kabold ",AT-00017,,,,,
Kobersdorf,47.5960798,16.3909779,קאבעסדארף,Kobersdorf,"Kobersdorf , Kabold ",AT-00017,,,,,
Kobersdorf,47.5960798,16.3909779,קאבערסדארף,Kobersdorf,"Kobersdorf , Kabold ",AT-00017,,,,,
Kobersdorf,47.5960798,16.3909779,"קב""ד",Kobersdorf,"Kobersdorf , Kabold ",AT-00017,,,,,
Kobersdorf,47.5960798,16.3909779,"קו""ד",Kobersdorf,"Kobersdorf , Kabold ",AT-00017,,,,,
Kobersdorf,47.5960798,16.3909779,קובלסדארף,Kobersdorf,"Kobersdorf , Kabold ",AT-00017,,,,,
"Lackenbach, Austria",47.592281,16.4656786,"ל""ב","Lackenbach, Austria","Lackenbach , Lakompak , Lakimpuh ",AT-00018,,,,,
"Lackenbach, Austria",47.592281,16.4656786,לאקינבאך,"Lackenbach, Austria","Lackenbach , Lakompak , Lakimpuh ",AT-00018,,,,,
"Lackenbach, Austria",47.592281,16.4656786,לאקנבאך,"Lackenbach, Austria","Lackenbach , Lakompak , Lakimpuh ",AT-00018,,,,,
"Lackenbach, Austria",47.592281,16.4656786,לאקענבאך,"Lackenbach, Austria","Lackenbach , Lakompak , Lakimpuh ",AT-00018,,,,,
"Lackenbach, Austria",47.592281,16.4656786,לאקענבוך,"Lackenbach, Austria","Lackenbach , Lakompak , Lakimpuh ",AT-00018,,,,,
"Lackenbach, Austria",47.58333333,16.46666667,לאקענבך,"Lackenbach, Austria","Lackenbach , Lakompak , Lakimpuh ",AT-00018,,,,,
"Lackenbach, Austria",47.592281,16.4656786,לאקענפאק,"Lackenbach, Austria","Lackenbach , Lakompak , Lakimpuh ",AT-00018,,,,,
"Lackenbach, Austria",47.592281,16.4656786,"לק""ב","Lackenbach, Austria","Lackenbach , Lakompak , Lakimpuh ",AT-00018,,,,,
Mattersburg,47.73625,16.39663,"מ""ד",Mattersburg,"Mattersburg , Nagymarton , Mattersdorf ",AT-00019,,,,,
Mattersburg,47.73625,16.39663,מאדרסדארף,Mattersburg,"Mattersburg , Nagymarton , Mattersdorf ",AT-00019,,,,,
Mattersburg,47.73625,16.39663,מאטטערסדארף,Mattersburg,"Mattersburg , Nagymarton , Mattersdorf ",AT-00019,,,,,
Mattersburg,47.73625,16.39663,מאטיסדארף,Mattersburg,"Mattersburg , Nagymarton , Mattersdorf ",AT-00019,,,,,
Mattersburg,47.73625,16.39663,מאטסדארף,Mattersburg,"Mattersburg , Nagymarton , Mattersdorf ",AT-00019,,,,,
Mattersburg,47.73625,16.39663,מאטעסבורג,Mattersburg,"Mattersburg , Nagymarton , Mattersdorf ",AT-00019,,,,,
Mattersburg,47.73625,16.39663,מאטעסדארף,Mattersburg,"Mattersburg , Nagymarton , Mattersdorf ",AT-00019,,,,,
Mattersburg,47.73625,16.39663,מאטערסדארף,Mattersburg,"Mattersburg , Nagymarton , Mattersdorf ",AT-00019,,,,,
Mattersburg,47.73625,16.39663,מאטערסדרף,Mattersburg,"Mattersburg , Nagymarton , Mattersdorf ",AT-00019,,,,,
Mattersburg,47.73625,16.39663,מאטרסדארף,Mattersburg,"Mattersburg , Nagymarton , Mattersdorf ",AT-00019,,,,,
Mattersburg,47.73625,16.39663,מאטרשדארף,Mattersburg,"Mattersburg , Nagymarton , Mattersdorf ",AT-00019,,,,,
Mattersburg,47.73625,16.39663,מאטרשטורף,Mattersburg,"Mattersburg , Nagymarton , Mattersdorf ",AT-00019,,,,,
Mattersburg,47.73625,16.39663,מוטערסדארף,Mattersburg,"Mattersburg , Nagymarton , Mattersdorf ",AT-00019,,,,,
Mattersburg,47.73625,16.39663,"מט""ד",Mattersburg,"Mattersburg , Nagymarton , Mattersdorf ",AT-00019,,,,,
Oberdorf im Burgenland,47.2189417,16.2185759,אבערדארעף,Oberdorf im Burgenland,,AT-00020,,,,,
Oberdorf im Burgenland,47.2189417,16.2185759,אבערדארף,Oberdorf im Burgenland,,AT-00020,,,,,
"Rechnitz, Austria",47.3047435,16.4406798,רעכניטץ,"Rechnitz, Austria","Rechnitz , Rohonc , Rohunac , Rohunc , Rohoncz, Rochonca",AT-00021,,,,,
"Rechnitz, Austria",47.3047435,16.4406798,רעכניץ,"Rechnitz, Austria","Rechnitz , Rohonc , Rohunac , Rohunc , Rohoncz, Rochonca",AT-00021,,,,,
Schattendorf,47.7104914,16.5095478,"ש""ד",Schattendorf,,AT-00022,,,,,
Schattendorf,47.7104914,16.5095478,שאטלסדארף,Schattendorf,,AT-00022,,,,,
Schattendorf,47.7104914,16.5095478,שאטעלסדארף,Schattendorf,,AT-00022,,,,,
Schattendorf,47.7104914,16.5095478,שוטלסדארף,Schattendorf,,AT-00022,,,,,
"Stadtschlaining, Austria",47.3225222,16.2742497,שלייניג,"Stadtschlaining, Austria","Stadtschlaining , Városszalónak , Öriszalónak, Schlaining",AT-00023,,,,,
"Stadtschlaining, Austria",47.3225222,16.2742497,שליינינג,"Stadtschlaining, Austria","Stadtschlaining , Városszalónak , Öriszalónak, Schlaining",AT-00023,,,,,
"Stadtschlaining, Austria",47.3225222,16.2742497,שליינק,"Stadtschlaining, Austria","Stadtschlaining , Városszalónak , Öriszalónak, Schlaining",AT-00023,,,,,
"Krems an der Donau, Austria",48.40999,15.60384,קרימזא,"Krems an der Donau, Austria","Krems an der Donau , Krems",AT-00025,,,,,
"Krems an der Donau, Austria",48.40999,15.60384,קרימש,"Krems an der Donau, Austria","Krems an der Donau , Krems",AT-00025,,,,,
"Krems an der Donau, Austria",48.40999,15.60384,קרמש,"Krems an der Donau, Austria","Krems an der Donau , Krems",AT-00025,,,,,
"Krems an der Donau, Austria",48.40999,15.60384,קרעמז,"Krems an der Donau, Austria","Krems an der Donau , Krems",AT-00025,,,,,
"Hohenems, Austria",47.3608313,9.6867191,האהענעמס,"Hohenems, Austria",Hohenems ,AT-00026,,,,,
"Hohenems, Austria",47.3608313,9.6867191,האכנעמס,"Hohenems, Austria",Hohenems ,AT-00026,,,,,
"Hohenems, Austria",47.3608313,9.6867191,הויכע עמס,"Hohenems, Austria",Hohenems ,AT-00026,,,,,
"Hohenems, Austria",47.3608313,9.6867191,הוכין עמס,"Hohenems, Austria",Hohenems ,AT-00026,,,,,
"Hohenems, Austria",47.3608313,9.6867191,הוכינעמס,"Hohenems, Austria",Hohenems ,AT-00026,,,,,
